priority,active,rule_id,rule_version,rule_name,action,match_exam_code,match_study_description_regex,match_procedure_regex,match_report_regex,exclude_procedure_regex,exclude_report_regex,case_class,area,type,acgme_description,acgme_def_category,keyword,component_label,mapping_confidence,needs_review_reason,notes
100,true,tunneled_dialysis,1,Tunneled dialysis catheter placement,generate,,,tunneled dialysis/pheresis catheter placement|tunneled dialysis catheter placement,,exchange|removal,,Interventional Procedures,Venous Access General,Venous access tunneled placement,,,,dominant_procedure,high,,
100,true,nontunneled_cvc,1,Non-tunneled central venous catheter placement,generate,,,non-?tunneled central venous catheter placement,,,,Interventional Procedures,Venous Access General,Venous access placement - nontunneled,,,,dominant_procedure,high,,
100,true,tunneled_line_exchange,1,Tunneled catheter exchange,generate,,,tunneled.*catheter exchange,,,,Interventional Procedures,Venous Access General,Venous access tunneled placement,,,,dominant_procedure,medium,Verify exchange category,
100,true,tunneled_line_removal,1,Tunneled catheter removal,generate,,,tunneled.*catheter removal,,,,Interventional Procedures,Venous Access General,Venous access explant,Tunneled catheter removal,Removal,,dominant_procedure,high,,
100,true,transjugular_liver_biopsy,2,Transjugular liver biopsy,generate,IRTRANJULV,,transjugular liver biopsy,,,,Interventional Procedures,Biopsy,Biopsy transvenous,,,,dominant_procedure,high,,
90,true,ultrasound_biopsy,1,Ultrasound-guided biopsy,generate,,,ultrasound-guided biopsy|biopsy,,transjugular liver biopsy,,Interventional Procedures,Biopsy,Biopsy abdominal/retroperitoneal,,,,dominant_procedure,medium,Verify biopsy site,
100,true,lymph_node_biopsy,1,Lymph node biopsy,generate,,,lymph node biopsy,,,,Interventional Procedures,Biopsy,Biopsy lymph node,,,,dominant_procedure,high,,
100,true,diagnostic_venography,1,Diagnostic venography and interventions,generate,,,diagnostic venography and interventions|venography,,,,Interventional Procedures,Venous Interventions,IVC filter placement,,,,dominant_procedure,low,Venography mapping needs manual ACGME type verification,
100,true,venous_plasty_pta,1,Venous plasty PTA,generate,,,\b(?:venoplasty|(?:venous|vein|ivc|svc|iliac|femoral|subclavian|brachiocephalic|renal)\b.*\w*plasty|\w*plasty\b.*(?:venous|vein|ivc|svc|iliac|femoral|subclavian|brachiocephalic|renal)\b),,ureteroplasty|cholangioplasty|vertebroplasty|kyphoplasty|portal,,Interventional Procedures,Venous Interventions,Venous PTA,,Venous Intervention,,dominant_procedure,high,,
100,true,dialysis_fistulagram,1,Dialysis access fistulagram,generate,,,fistulagram|arteriovenous access declot,,,,Interventional Procedures,Dialysis Shunt Management,Dialysis access fistulagram,,,,dominant_procedure,high,,
100,true,ivc_filter_placement,2,IVC filter placement,generate,IRIVCFIL,,(ivc|inferior vena cava).*filter.*(placement|insertion)|ivc filter placement|ir ivc filter placement,,,,Interventional Procedures,Venous Interventions,IVC filter placement,,Venous Intervention,,dominant_procedure,high,,
100,true,ivc_filter_retrieval,2,IVC filter retrieval,generate,IRIVCFILRM,,(ivc|inferior vena cava).*filter.*(retrieval|removal)|ivc filter retrieval|ivc filter removal|ir ivc filter removal,,,,Interventional Procedures,Venous Interventions,Venous foreign body retrieval,,Venous Intervention,,dominant_procedure,high,,
100,true,biliary_exchange,1,Biliary drain exchange,generate,,,biliary.*(drain|tube).*exchange|cholecystostomy tube exchange,,,,Interventional Procedures,Biliary Interventions,Biliary tube maintenance,,,,dominant_procedure,high,,
100,true,embolization,1,Arterial embolization,generate,,,embolization|radioembolization|uterine artery embolization|transarterial embolization,,,,Interventional Procedures,Arterial Interventions,Arterial embolization,,,,dominant_procedure,high,,
100,true,y90_mapping_angio,1,Y90 mapping selective angiogram,generate,,,radioembolization preparatory angiogram|Tc99m-MAA|MAA administration,,,,Interventional Procedures,Diagnostic Arteriography,Selective visceral angiogram,,,,dominant_procedure,medium,Y90 mapping - verify components,
100,true,arterial_stent,1,Arterial stent,generate,,,arterial stent|stent placement,,,,Interventional Procedures,Arterial Interventions,Arterial stent,,,,stent,high,,
100,true,vascular_closure,1,Arterial vascular closure,generate,,,vascular closure,,,,Interventional Procedures,Arterial Interventions,Arterial vascular closure,,,,dominant_procedure,high,,
200,true,no_procedure,1,No procedure performed,flag_only,,,procedure was not performed|no intervention was performed|deferred|aborted|unsuccessful,,,,Interventional Procedures,Drainage Procedures,Drainage tube placement,,,,dominant_procedure,low,No/aborted procedure - manual review,
200,true,consult_only,1,Consult or evaluation only,exclude,,,consult|preprocedure ultrasound only|evaluation only,,,,Interventional Procedures,Drainage Procedures,Drainage tube placement,,,,dominant_procedure,low,Excluded non-procedure,
